name|capital|surface|neighbors|timezone|density|population|languages|governance
Kenya|Nairobi|582650|Etiopia Somalia Tanzania Uganda Sudanul de Sud Sudan Liga Arabă Lacul Victoria  |UTC + 3|58.1|48468138|engleza, swahili|republică
Kârgâzstan|Bișkek|199951|Republica Populară Chineză Kazahstan Tadjikistan Uzbekistan  |+ 5, + 6|27.4|5663100|kirghiza, rusa|republică parlamentară
Kiribati|Tarawa|811|Statele Unite ale Americii Franța  |UTC+12 (Insulele Gilbert și Banaba)UTC+13 (Insulele Phoenix)UTC+14 (Insulele Line)|135|101998|engleză, gilberteză|Republică parlamentară
Kuweit|Kuweit|17818|Irak Irak Saudi–Kuwaiti Neutral Zone Arabia Saudită Iran  |UTC + 3|131|4600000|arabă|emirat ereditar
Laos|Vientiane|236800|Myanmar Cambodgia Republica Populară Chineză Thailanda Vietnam  |UTC+7|26.7|6803699|Limba laoțiană|Republică socialistă
Lesotho|Maseru|30355|Africa de Sud  |SAST|61.5|2067000|sesotho, engleza|Monarhie constituțională
Letonia|Riga|64589|Belarus Estonia Lituania Rusia Suedia  |UTC+2/+3|34.3|2217000|limba letonă, |Republică parlamentară
Liban|Beirut|10452|Siria Israel  |EET (UTC+2)|473|6100075|araba, [1]|Republică parlamentară
Liberia|Monrovia|111370|Guineea Sierra Leone Coasta de Fildeș  |UTC|26.3|4731906|engleza|Republică
Libia|Tripoli|1759540|Egipt Sudan Tunisia Algeria Ciad Niger  |UTC + 2|3.6|6420000|araba|Republică
Liechtenstein|Vaduz|160|Elveția Austria Uniunea Europeană  |UTC+1 (UTC+1)  |227.4|36|germană|Sistem parlamentar sub monarhie constituțională
Lituania|Vilnius|65200|Belarus [3] Letonia [3] Polonia [3] Rusia [3]  |EET (UTC+2)|50.3|2966954|Lituaniană|Republică parlamentară
Luxemburg|Luxemburg|2586|Germania Franța Belgia  |UTC +1/+2|198.0|537853|Luxemburgheza, Franceza, Germana|Monarhie
Republica Macedonia|Skopje|25713|Albania Serbia Bulgaria Grecia Uniunea Europeană Kosovo  |UTC + 1|80.1|2075301|macedoneană, albaneză|Republică parlamentară
Madagascar|Antananarivo|587040|Comore [2] Franța Mozambic Seychelles  |UTC+3|35.2|25570895|Malgașă, Franceză|Republică
Malawi|Lilongwe|118480|Zambia Tanzania Mozambic  |UTC + 2|128.8|16407000|engleza, chichewa|democrație
Malaezia|Kuala Lumpur|329847|Thailanda Brunei Indonezia Singapore Filipine  |UTC+8|92|30646000|malaeza|Monarhie constituțională
Maldive|Malé|298||UTC+5|1.105|436330|Dhivehi|Republică
Mali|Bamako|1240192|Algeria Niger Burkina Faso Coasta de Fildeș Guineea Senegal Mauritania  |GMT|11.7|14517176|Franceză, Arabă|Republică Unitară semi-prezidențială
Malta|Valletta|316|Italia  |UTC+1|1431|465292|malteza, engleza, italiana|republică
Maroc|Rabat|446550|Algeria Mauritania Spania Uniunea Europeană  |WET|0|37112080|arabă, spaniolă, franceză, [1], tamazigtă, [2]|Monarhie constituțională
Insulele Marshall|Majuro|181|Micronezia Kiribati Statele Unite ale Americii Nauru  |"UTC+12 (UTC+12) Pacific/Kwajalein[*][[Pacific/Kwajalein |​]][5] (UTC+12) Pacific/Majuro[*][[Pacific/Majuro |​]][5] (UTC+12)  "|342.5|68000|Engleză, Marshalleză|Prezidențial Unitar Democratic republică
Mauritania|Nouakchott|1030700|Sahara Occidentală Algeria Mali Senegal  |UTC + 0|3.2|3359185|araba standard, franceza|democrație parlamentară
Mauritius|Port Louis|2040||UTC+4|630|1291456|engleza|Republică parlamentară
Mexic|Ciudad de México|1972550|Guatemala Belize Statele Unite ale Americii  |UTC−8 la −5|57|124777324|spaniolă|Republică prezidențială
Statele Federate ale Microneziei|Palikir|702|Statele Unite ale Americii Palau Papua Noua Guinee  |UTC+10 (Chuuk și Yap)UTC+11 (Kosrae și Pohnpei)|154|107862|engleză|Republică federală
Republica Moldova|Chișinău|33846|Ucraina România  |EET (UTC+2)|2020|2640438|Română, [1], [2], [3]|Republică parlamentară
Monaco|Mongolia|198|Franța Uniunea Europeană  |UTC+1|18.175|35986|franceză|Monarhie constituțională
Mongolia|Ulaanbaatar|1564116|Republica Populară Chineză Rusia  |UTC+7/+8|1|3075647|Mongolă|Republică parlamentară
Mozambic|Maputo|801590|Tanzania Malawi Zambia Zimbabwe Eswatini Africa de Sud Comore  |UTC+2|25|21397000|portugheză|Republică
Muntenegru|Podgorica|13812|Bosnia și Herțegovina Serbia Albania Croația Uniunea Europeană Kosovo  |CET (UTC+1)|45|625266|Muntenegreană|Republică parlamentară
Namibia|Windhoek|824292|Angola Zambia Botswana Africa de Sud  |UTC+1|2.5|2533794|Engleza|Republică
Nauru|Yaren|21||"UTC+12 (UTC+12) Pacific/Nauru[*][[Pacific/Nauru |​]][1] (UTC+12)  "|446.6|9378|engleza, nauruana|republică parlamentară
Nepal|Kathmandu|147181|Republica Populară Chineză India  |UTC+5:45|199.3|29331100|nepaleză|Republică federală
Nicaragua|Managua|130373|Costa Rica Honduras Columbia  |"UTC−6 (UTC-6) America/Managua[*][[America/Managua |​]][3] (UTC-6)  "|43|5666301|Spaniolă|republică prezidențială
Niger|Niamey|1267000|Ciad Libia Algeria Mali Burkina Faso Benin Nigeria Liga Arabă  |UTC + 1|10|12|Franceză|Republică Parlamentară
Nigeria|Abuja|923768|Benin Niger Ciad Camerun São Tomé și Príncipe  |UTC + 1|188|174507539|Engleza|Republică federală prezidențială
Norvegia|Oslo|385207|Suedia Finlanda Rusia Uniunea Europeană  |UTC+1|0|5391369|bokmål, nynorsk, limbii norvegiene|monarhie constituțională
Noua Zeelandă|Wellington|268021|Australia [1]  |UTC+12|19.13|4699755|Engleza, Māori, NZSL|democrație, monarhie constituțională
Olanda|Amsterdam|41543|Germania Belgia  |CET (UTC+1)|409.6|17282163|Neerlandeză|Monarhie constituțională
Oman|Muscat|309501|Arabia Saudită Yemen Emiratele Arabe Unite Iran  |UTC+4|13|3219775|arabă omaneză|Monarhie absolutistă
Pakistan|Islamabad|803940|Afganistan India Republica Populară Chineză Iran  |UTC + 5|257|207700000|urdu, engleză|republică federală
Palau|Ngerulmud|46555|Micronezia Indonezia Filipine  |UTC+9|38.6|17948|Palauana, Engleza|Republică prezidențială unitară
Palestina|Ramala|6020||UTC+2 (UTC+2)UTC+3 (UTC+3)  |0|5227193|limba arabă, |Unknown
Panama|Ciudad de Panamá|75517|Costa Rica Columbia Statele Unite ale Americii  |UTC−5|44.5|3405813|spaniolă|Republică prezidențială
Papua Noua Guinee|Port Moresby|462840|Indonezia Australia Micronezia  |UTC + 10|13|5887000|engleză, tok pisin, Hiri motu|Monarhie constituțională
Paraguay|Asunción|406752|Argentina Bolivia Brazilia  |UTC−4|14.2|6811297|guarani, spaniolă|Republică constituțională cu parlament bicameral
Peru|Lima|1285216|Ecuador Columbia Bolivia Brazilia Chile Columbia Mare  |UTC−5|23|32553697|spaniolă|Republică prezidențială
Polonia|Varșovia|312679|Cehia Germania Ucraina Slovacia Belarus Lituania Rusia  |UTC+1|123|38483957|Poloneză|Republică parlamentară
Portugalia|Lisabona|92212|Spania [2] Castilia și León  |WET (UTC+ 0)|115|10347892|portugheză, [ib 1]|Republică semi-prezidențială
Qatar|Doha|11581|Arabia Saudită Iran  |AST (UTC+3)|176|2795484|Arabă, [1]|unitară parlamentară Monarhie absolută
Regatul Unit|Londra|243610|Irlanda [9]  |UTC|263.1|67886004|engleza|monarhie constituțională
România|București|238397|Ucraina Ungaria Serbia Bulgaria Republica Moldova  |EET (UTC+2)|84.4|20121641|română|Republică semi-prezidențială
Rusia|Moscova|17125191|Azerbaidjan Belarus Republica Populară Chineză Estonia Finlanda Georgia Kazahstan Letonia Lituania Coreea de Nord Norvegia Republica Abhazia ​ Japonia Statele Unite ale Americii Ucraina Mongolia Polonia Osetia de Sud Republica Populară Luhansk Republica Populară Donețk  |UTC+2 (UTC+2)  |0|146804372|limba rusă, |democrație reprezentativă 
Rwanda|Kigali|26798|Uganda Tanzania Republica Democrată Congo Burundi  |UTC+2|343|10186063|Kinyarwanda, franceză, engleză|Republică
Samoa|Apia|2831|Statele Unite ale Americii  |UTC+13|0|196440|samoană, engleză|Republică parlamentară unitară
San Marino|San Marino|612|Italia Uniunea Europeană  |CET(UTC+1)|0|33400|limba italiană, |Republică parlamentară
São Tomé și Príncipe|São Tomé|1001|Gabon Guineea Ecuatorială Nigeria  |UTC|157|157|portugheză|Republică semi-prezidențială
Senegal|Dakar|196723|Mauritania Mali Guineea Guineea-Bissau Gambia Liga Arabă  |UTC|59|11658000|Franceza|Republică semi-prezidențială
Serbia|Belgrad|88361|Ungaria România Bulgaria Macedonia de Nord Muntenegru Bosnia și Herțegovina Croația Albania Kosovo Uniunea Europeană  |UTC +1/+2|0|7022268|sârbă|republică parlamentară
Seychelles|Victoria|455|Franța Comore Tanzania Madagascar Mauritius  |UTC+4|184.6|98462|limba creolă, limba engleză, limba franceză|republică prezidențială
Sfântul Cristofor și Nevis|Basseterre|261|Venezuela  |UTC-4|164|42696|engleză|Monarhie constituțională
Sfânta Lucia|Castries|617|Venezuela  |UTC-4|298|173765|engleză|Monarhie constituțională
Sfântul Vicențiu și Grenadinele|Kingstown|389|Venezuela  |UTC-4|307|103000|Engleza|Democrație parlamentară și Monarhie constituțională
Sierra Leone|Freetown|71740|Guineea Liberia  |UTC +0|79.4|6000000|Engleza|Democrație
Singapore|Singapore|704|Malaezia Indonezia  |UTC+8|6.389|4326000|Malaieza, chineza, tamila, engleza|Republică parlamentară
Siria|Damasc|185181|Turcia Israel Irak Iordania Liban  |"UTC+2 (UTC+2) Asia/Damascus[*][[Asia/Damascus |​]][1] (UTC+3)  "|118.3|18499181|Arabă|Republică semiprezidențială  Sistem monopartit
Slovacia|Bratislava|49035|Polonia Ucraina Ungaria Austria Cehia  |UTC+1 (UTC+1)  |0|5397036|limba slovacă, |republică parlamentară
Slovenia|Ljubljana|20273|Italia Austria Croația Ungaria  |UTC+1 (UTC+1)  |0|2066880|limba slovenă, |republică democratică[*]​[2] 
Insulele Solomon|Honiara|284|Fiji Papua Noua Guinee Vanuatu Australia Franța  |UTC (UTC+11)|18.1|523000|engleză|monarhie constituțională
Somalia|Mogadishu|637657|Djibouti Etiopia Kenya  |EAT|16.12|11031386|Somaleză, Arabă, [2]|Republică Parlamentară Federală
Spania|Madrid|505370|Andorra [7] Portugalia [7] Maroc Franța [7] Gibraltar [7]  |CET (UTC+1)|0|46733038|spaniolă|monarhie parlamentară[*]​ 
Sri Lanka|Sri Jayewardanapura Kotte|65610||UTC+5:30|298|21444000|Sinhala, Tamil|Unknown
Statele Unite ale Americii|Washington, D.C.|9629091|Mexic Canada  |UTC (UTC-5 la -10)|34.2|318626220|engleza, spaniola, hawaiiana|Republică federală prezidențială
Sudan|Khartoum|1886068|Sudanul de Sud Ciad Republica Centrafricană Etiopia Eritreea Egipt Libia Kenya Uganda Republica Democrată Congo Bir Tawil  |East Africa Time|16.4|30894000|Araba, Engleză|Federal prezidențial democrație republică
Sudanul de Sud|Juba|619745|Sudan Etiopia Kenya Uganda Republica Democrată Congo Republica Centrafricană Liga Arabă  |UTC+3|0|7000000|engleză|republică federală prezidențială democratică
Suedia|Stockholm|52886106|Finlanda [3] Norvegia [3] Danemarca  |UTC+1 (UTC+1)  |0|10409248|limba suedeză, |monarhie constituțională 
Surinam|Paramaribo|163821|Franța Guyana Brazilia Uniunea Europeană Guyana Franceză  |UTC  -3|2.7|487024|Limba olandeză|Democrație constituțională având un președinte care este simultan și șeful guvernului
Tadjikistan|Dușanbe|143100|Uzbekistan Kârgâzstan Republica Populară Chineză Afganistan  |TJT (UTC+ 5)|48.6|8000000|tadjică, rusă|republică semiprezidențială
Tanzania|Dodoma|945203|Kenya Uganda Rwanda Burundi Republica Democrată Congo Zambia Malawi Mozambic Lacul Victoria Seychelles  |EAT (UTC+3)|46.3|44929002|Swahili|Unitar prezidențial republică constituțională
Thailanda|Bangkok|513120|Laos Cambodgia Malaezia Myanmar Khmer Republic Kedah  |UTC+7|121|65931550|Thailandeză|unitar parlamentar monarhie constituțională
Timorul de Est|Dili|14874|Indonezia ASEAN Australia  |UTC+9|64|1124000|portugheză, tetum|Republică parlamentară
Togo|Lomé|56785|Burkina Faso Ghana Benin  |UTC|125.9|7154237|Franceza|Republică prezidențială
Tonga|Nuku'alofa|748|Statele Unite ale Americii  |UTC+13|139|103036|engleza, tongana|Monarhie
Trinidad-Tobago|Port of Spain|5131|Venezuela  |"UTC−4 (UTC-4) America/Port_of_Spain[*][[America/Port_of_Spain |​]][4] (UTC-4)  "|254.4|1369125|Engleză|republică parlamentară 
Tunisia|Tunis|16361|Libia Algeria  |UTC+1|0|11565204|berbera|Unitar semiprezidențial Republică constituțională[1][2]
Turcia|Ankara|783562|Grecia Bulgaria Siria Irak Armenia Iran Georgia Azerbaidjan Liga Arabă Uniunea Europeană  |"UTC+3 (UTC+3) Europe/Istanbul[*][[Europe/Istanbul |​]][7] Asia/Istanbul[*][[Asia/Istanbul (IANA time zone)|​]][7] "|101|83614362|Turcă|Republică prezidențială
Turkmenistan|Așgabat|491210|Kazahstan Uzbekistan Afganistan Iran  |+5|10.5|5850901|Turkmena|republică prezidențială
Tuvalu|Funafuti|26||UTC+12|475.88|11192|engleză, tuvaluană|Monarhie constituțională
Ucraina|Kiev|603634|Belarus Polonia Slovacia Ungaria România Republica Moldova Rusia Uniunea Europeană  |Ora Europei de Est (UTC+2)|74.2|42603854|limba ucraineană|republică semi-prezidențială
Uganda|Kampala|236040|Kenya Sudanul de Sud Republica Democrată Congo Rwanda Tanzania Sudan Lacul Victoria  |UTC + 3|143.7|34634650|engleză, Swahili|republică
Ungaria|Budapesta|93030|Slovacia Ucraina România Serbia Croația Slovenia Austria  |UTC+1/+2|107|9769526|Maghiară|Republică parlamentară
Uruguay|Montevideo|176215|Brazilia Argentina  |UYT (UTC−3)|18.65|3318535|spaniolă|Republică prezidențială
Uzbekistan|Tașkent|448978|Kazahstan Kârgâzstan Tadjikistan Afganistan Turkmenistan  |UZT (UTC+5)|61.4|33570609|uzbeca|republică prezidențială
Vanuatu|Port Vila|12189||UTC+11|16|276244|bislama, engleza, franceza|Republică
Vatican|Unknown|044|Italia Uniunea Europeană  |UTC+1|1877|832|italiană, latină|Teocrație  Monarhie electivă Monarhie absoluta
Venezuela|Caracas|9164452|Columbia Brazilia Guyana Republica Dominicană [4] Trinidad și Tobago [5] [6] Sfântul Cristofor și Nevis Dominica Sfânta Lucia Sfântul Vincențiu și Grenadine Grenada Regatul Țărilor de Jos [7] Statele Unite ale Americii [8] Franța [4] Regatul Unit  |UTC-4|33.74|29335489|spaniolă|Republică federală
Vietnam|Hanoi|331212|Republica Populară Chineză Cambodgia Laos  |Vietnam Standard Time (UTC+07:00)|276.03|94660000|[n 1]|Stat unitar, Marxism-leninism, Sistem monopartid, Stat socialist, Republică
Yemen|Sana'a|527968|Arabia Saudită Oman  |UTC + 3 / + 4|44.7|23833000|arabă|Republică prezidențială
Zambia|Lusaka|752614|Zimbabwe Tanzania Republica Democrată Congo Malawi Mozambic Namibia Angola Botswana  |+2|15|17094130|Engleză|Republica constituțională prezidențială unitară
Zimbabwe|Harare|390757|Zambia Mozambic Africa de Sud Botswana  |UTC+2|31.1|16529904|16 limbi oficiale (70% vorbesc shona)|Republică
